pair,probability_pct
1->1,80.3278
1->2,7.3205
1->3,7.4435
1->4,4.9082
2->1,6.2655
2->2,79.2687
2->3,9.2637
2->4,5.2022
3->1,6.817
3->2,5.2157
3->3,79.6912
3->4,8.2761
4->1,4.9045
4->2,4.2892
4->3,4.859
4->4,85.9473
